,Education_level,Full_time_job,Living area,Age,Gender,Children,Age_group,Question_basicincome_awareness,Question_basicincome_vote,Question_basicincome_effect,Question_basicincome_argumentsfor,Question_basicincome_argumentsagainst,Job_title,Country,Country_code
8222,medium,yes,urban,35 years old,FeMale,YES,26_39,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering,It is impossible to finance,geographic information systems data specialist gis data specialist,Poland,PL
8223,medium,yes,countryside,50 years old,male,yES,40_65,I have never heard of it,I would probably vote for it,‰Û_ gain additional skills,It reduces bureaucracy and administrative expenses,It is against the principle of linking merit and reward,database designer,Poland,PL
8224,medium,yes,city,37 years old,male,nO,26_39,I understand it fully,I would not vote,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit,data security analyst,Poland,PL
8225,medium,yes,urban,54 years old,Fem,YES,40_65,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Only the people who need it most should get something from the state,data management information technology specialist,Poland,PL
8226,low,yes,city,44 years old,male,yES,40_65,I know something about it,I would vote for it,‰Û_ work less,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,data communications software consultant,Poland,PL
8227,,no,city,38 years old,male,nO,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,,Poland,PL
8228,medium,yes,urban,1988,male,yES,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It is impossible to finance | Only the people who need it most should get something from the state,database administration manager,Poland,PL
8229,medium,no,rural,1986,female,yES,26_39,I have never heard of it,I would vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,,Poland,PL
8230,medium,yes,Non-Rural,45 years old,female,yES,40_65,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance,geographic information systems data manager gis data manager,Poland,PL
8231,medium,yes,urban,1988,male,NO,26_39,I know something about it,I would vote for it,‰Û_ gain additional skills,"It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working,database security administrator,Poland,PL
8232,high,yes,urban,1986,Male,yES,26_39,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,data warehousing manager,Poland,PL
8233,high,yes,urban,37 years old,Male,YES,26_39,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance,engineer system electronic data processing engineer system edp,Poland,PL
8234,medium,yes,city,42 years old,female,YES,40_65,I have heard just a little about it,I would vote against it,‰Û_ stop working,It increases appreciation for household work and volunteering,It might encourage people to stop working,data officer,Poland,PL
8235,high,yes,urban,1986,Male,nO,26_39,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,It might encourage people to stop working | It is against the principle of linking merit and reward,data administrator,Poland,PL
8236,high,yes,rural,1998,female,nO,14_25,I have heard just a little about it,I would probably vote for it,‰Û_ do more volunteering work,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,field artillery automated tactical data system specialist,Poland,PL
8237,high,yes,urban,32 years old,FeMale,NO,26_39,I understand it fully,I would vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It increases dependence on the state,data management associate,Poland,PL
8238,medium,yes,countryside,1992,Male,nO,14_25,I know something about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,automatic data processing customer liaison adp customer liaison,Poland,PL
8239,,yes,urban,45 years old,FeMale,yES,40_65,I understand it fully,I would not vote,None of the above,It creates more equality of opportunity,None of the above,clinical data analyst,Poland,PL
8240,medium,no,Country,31 years old,female,yES,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,Only the people who need it most should get something from the state,,Poland,PL
8241,low,yes,Country,44 years old,female,yES,40_65,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward,data entry associate,Poland,PL
8242,no,no,rural,1997,FeMale,NO,14_25,I have never heard of it,I would probably vote for it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone",It might encourage people to stop working,,Poland,PL
8243,low,no,countryside,44 years old,female,YES,40_65,I understand it fully,I would probably vote against it,‰Û_ spend more time with my family,It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It increases dependence on the state,,Poland,PL
8244,high,no,city,1986,male,yES,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state,,Poland,PL
8245,high,yes,urban,40 years old,male,yES,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It might encourage people to stop working | It increases dependence on the state,database management system specialist dbms specialist,Poland,PL
8246,medium,yes,city,53 years old,female,YES,40_65,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,data coordinator,Poland,PL
8247,medium,yes,Country,46 years old,FeMale,YES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,geographic information systems database administrator gis database administrator,Poland,PL
8248,low,yes,urban,44 years old,male,YES,40_65,I have never heard of it,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,naval tactical data systemcombat information center watch officer carrier controlled approach controller,Poland,PL
8249,high,yes,urban,1997,FeMale,YES,14_25,I understand it fully,I would vote against it,‰Û_ gain additional skills,It reduces bureaucracy and administrative expenses | It encourages financial independence and self-responsibility,It is against the principle of linking merit and reward | It is impossible to finance,analytical data miner,Poland,PL
8250,high,yes,urban,41 years old,male,NO,40_65,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working,geographic information systems data specialist gis data specialist,Poland,PL
8251,medium,no,urban,1996,female,NO,14_25,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working,,Poland,PL
8252,no,yes,Non-Rural,38 years old,male,YES,26_39,I know something about it,I would vote for it,‰Û_ work less,It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state,data communications analyst,Poland,PL
8253,no,yes,urban,35 years old,female,nO,26_39,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,data collector,Poland,PL
8254,high,yes,urban,34 years old,female,nO,26_39,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit,sql database administrator,Poland,PL
8255,high,yes,urban,34 years old,female,yES,26_39,I have heard just a little about it,I would not vote,‰Û_ look for a different job,It reduces bureaucracy and administrative expenses,It might encourage people to stop working,data transcriber,Poland,PL
8256,high,no,urban,32 years old,female,yES,26_39,I know something about it,I would vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs | It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance,,Poland,PL
8257,medium,yes,city,44 years old,male,YES,40_65,I have heard just a little about it,I would vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,data capture clerk,Poland,PL
8258,high,yes,city,40 years old,FeMale,YES,40_65,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,It might encourage people to stop working,geographic information systems database administrator gis database administrator,Poland,PL
8259,high,no,urban,1993,Male,NO,14_25,I know something about it,I would vote against it,‰Û_ work less,None of the above,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,Poland,PL
8260,medium,yes,urban,1997,male,nO,juvenile,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state,data management information technology specialist,Poland,PL
8261,medium,yes,urban,32 years old,FeMale,YES,26_39,I have heard just a little about it,I would vote for it,‰Û_ spend more time with my family,It encourages financial independence and self-responsibility | It creates more equality of opportunity | It reduces anxiety about financing basic needs,It is impossible to finance,data modeling specialist,Poland,PL
8262,low,no,urban,52 years old,male,YES,40_65,I have heard just a little about it,I would vote for it,‰Û_ look for a different job,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8263,medium,yes,urban,45 years old,female,YES,40_65,I have never heard of it,I would vote for it,‰Û_ work less,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,analytical data miner,Poland,PL
8264,low,yes,urban,49 years old,male,yES,40_65,I know something about it,I would probably vote against it,None of the above,None of the above,It is impossible to finance | Only the people who need it most should get something from the state,database development and administration project manager,Poland,PL
8265,high,no,urban,59 years old,male,NO,40_65,I understand it fully,I would probably vote for it,‰Û_ do more volunteering work,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It is against the principle of linking merit and reward | It might encourage people to stop working,,Poland,PL
8266,medium,yes,urban,41 years old,male,NO,40_65,I understand it fully,I would not vote,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state,database software technician,Poland,PL
8267,high,yes,city,1988,female,yES,26_39,I know something about it,I would probably vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working,computer or data processing systems consultant,Poland,PL
8268,medium,yes,urban,40 years old,Fem,yES,40_65,I have heard just a little about it,I would vote for it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It is impossible to finance,database software technician,Poland,PL
8269,high,yes,rural,42 years old,FeMale,nO,40_65,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,data operations director,Poland,PL
8270,high,yes,city,53 years old,female,YES,40_65,I have never heard of it,I would not vote,‰Û_ work less,None of the above,Only the people who need it most should get something from the state,data warehouse architect,Poland,PL
8271,high,yes,urban,1987,female,nO,26_39,I have never heard of it,I would probably vote against it,None of the above,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance,naval tactical data systemcombat information center watch officer general,Poland,PL
8272,medium,yes,urban,37 years old,male,yES,26_39,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It reduces bureaucracy and administrative expenses | It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,database security expert,Poland,PL
8273,high,yes,city,58 years old,Fem,yES,40_65,I know something about it,I would probably vote against it,A basic income would not affect my work choices,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,database consultant,Poland,PL
8274,medium,yes,urban,49 years old,FeMale,yES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance,database administration project manager,Poland,PL
8275,high,yes,urban,41 years old,Fem,yES,40_65,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,automatic data processing planner,Poland,PL
8276,medium,yes,urban,57 years old,male,YES,40_65,I understand it fully,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity,None of the above,database security administrator,Poland,PL
8277,high,no,urban,1998,male,NO,14_25,I know something about it,I would vote for it,‰Û_ work less,It encourages financial independence and self-responsibility,It might encourage people to stop working,,Poland,PL
8278,medium,no,rural,1998,male,nO,14_25,I have heard just a little about it,I would probably vote against it,‰Û_ work less,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working,,Poland,PL
8279,medium,no,urban,31 years old,male,YES,26_39,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,"It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8280,medium,yes,urban,52 years old,Male,yES,40_65,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit,data processing consultant,Poland,PL
8281,high,no,urban,59 years old,Male,nO,40_65,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It reduces anxiety about financing basic needs",It is impossible to finance,,Poland,PL
8282,high,yes,urban,42 years old,Male,yES,40_65,I know something about it,I would probably vote for it,‰Û_ look for a different job,It creates more equality of opportunity,It is impossible to finance,database designer,Poland,PL
8283,medium,no,Non-Rural,59 years old,male,YES,40_65,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above,,Poland,PL
8284,,no,city,50 years old,male,yES,40_65,I have heard just a little about it,I would not vote,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8285,high,yes,Non-Rural,1992,male,nO,14_25,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,data warehouse architect,Poland,PL
8286,no,no,city,59 years old,FeMale,NO,40_65,I have heard just a little about it,I would vote for it,‰Û_ gain additional skills,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state,,Poland,PL
8287,medium,no,rural,62 years old,male,yES,40_65,I know something about it,I would probably vote for it,‰Û_ do more volunteering work,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8288,medium,yes,Non-Rural,50 years old,Male,yES,40_65,I have heard just a little about it,I would probably vote for it,‰Û_ spend more time with my family,None of the above,It is impossible to finance,lidar data analyst,Poland,PL
8289,medium,yes,rural,40 years old,female,YES,40_65,I know something about it,I would probably vote for it,‰Û_ work less,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering,It might encourage people to stop working | It is against the principle of linking merit and reward,automatic data processing planner adp planner,Poland,PL
8290,no,yes,Non-Rural,35 years old,female,nO,26_39,I have never heard of it,I would not vote,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state,director of data operations,Poland,PL
8291,medium,yes,urban,1986,Male,NO,26_39,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,oracle database administrator oracle dba,Poland,PL
8292,,no,Non-Rural,2000,Fem,NO,14_25,I understand it fully,I would vote for it,‰Û_ spend more time with my family,None of the above,Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8293,,yes,Non-Rural,54 years old,male,yES,40_65,I understand it fully,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It is impossible to finance,data scientist,Poland,PL
8294,high,yes,urban,55 years old,female,yES,40_65,I know something about it,I would probably vote against it,‰Û_ look for a different job,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward,data communications analyst,Poland,PL
8295,medium,no,urban,1993,male,NO,14_25,I understand it fully,I would not vote,None of the above,None of the above,None of the above,,Poland,PL
8296,low,no,city,60 years old,female,yES,40_65,I have heard just a little about it,I would not vote,‰Û_ spend more time with my family,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8297,medium,yes,urban,39 years old,female,yES,26_39,I know something about it,I would vote for it,‰Û_ spend more time with my family,It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit,data storage specialist,Poland,PL
8298,medium,yes,Country,1986,Fem,nO,26_39,I have heard just a little about it,I would not vote,None of the above,None of the above,None of the above,geographic information systems database administrator gis database administrator,Poland,PL
8299,low,no,urban,52 years old,male,NO,40_65,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,,Poland,PL
8300,medium,yes,Non-Rural,59 years old,FeMale,YES,40_65,I know something about it,I would probably vote against it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It might encourage people to stop working,data communications analyst,Poland,PL
8301,medium,no,urban,65 years old,FeMale,YES,40_65,I understand it fully,I would probably vote for it,None of the above,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8302,medium,yes,rural,38 years old,Male,yES,26_39,I understand it fully,I would vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity,It is impossible to finance,field traffic data technician,Poland,PL
8303,medium,yes,urban,32 years old,Male,yES,26_39,I know something about it,I would not vote,None of the above,None of the above,None of the above,automatic data processing planner adp planner,Poland,PL
8304,high,yes,Non-Rural,45 years old,Male,yES,40_65,I know something about it,I would vote for it,‰Û_ spend more time with my family,It creates more equality of opportunity | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working,data entry representative,Poland,PL
8305,medium,no,Non-Rural,36 years old,female,YES,26_39,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone | It increases appreciation for household work and volunteering",It might encourage people to stop working | Only the people who need it most should get something from the state,,Poland,PL
8306,high,yes,Non-Rural,54 years old,male,NO,40_65,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,None of the above,It is impossible to finance | It might encourage people to stop working,reference data expert,Poland,PL
8307,medium,no,urban,39 years old,female,yES,26_39,I know something about it,I would not vote,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state,,Poland,PL
8308,low,no,Country,36 years old,FeMale,YES,26_39,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,Poland,PL
8309,,no,urban,2002,female,nO,juvenile,I have never heard of it,I would vote against it,‰Û_ stop working,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8310,high,yes,Non-Rural,1987,female,nO,26_39,I know something about it,I would vote against it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state,director of data operations,Poland,PL
8311,low,no,city,32 years old,male,NO,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8312,low,no,city,53 years old,male,YES,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",Only the people who need it most should get something from the state,,Poland,PL
8313,high,yes,city,43 years old,FeMale,yES,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,Only the people who need it most should get something from the state,database development and administration project manager,Poland,PL
8314,high,yes,Non-Rural,1986,Male,yES,26_39,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,Foreigners might come to my country and take advantage of the benefit,database architect,Poland,PL
8315,medium,yes,Non-Rural,31 years old,female,NO,26_39,I understand it fully,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs | It encourages financial independence and self-responsibility | It creates more equality of opportunity,It is impossible to finance,database coordinator,Poland,PL
8316,medium,yes,Non-Rural,52 years old,Male,yES,40_65,I know something about it,I would vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs,It might encourage people to stop working,database consultant,Poland,PL
8317,no,no,urban,2002,female,NO,juvenile,I understand it fully,I would vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8318,high,no,urban,50 years old,female,yES,40_65,I know something about it,I would probably vote for it,‰Û_ gain additional skills,"It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It increases appreciation for household work and volunteering",None of the above,,Poland,PL
8319,high,no,Non-Rural,31 years old,male,nO,26_39,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,,Poland,PL
8320,high,no,urban,1996,Male,nO,14_25,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,None of the above,It is impossible to finance,,Poland,PL
8321,medium,yes,Non-Rural,1993,male,nO,14_25,I have heard just a little about it,I would probably vote against it,‰Û_ work as a freelancer,It creates more equality of opportunity,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,data management associate,Poland,PL
8322,high,yes,urban,41 years old,FeMale,NO,40_65,I understand it fully,I would vote for it,‰Û_ work less,It encourages financial independence and self-responsibility,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,electronic data processing auditor edp auditor,Poland,PL
8323,medium,yes,urban,1994,female,NO,14_25,I know something about it,I would probably vote against it,‰Û_ work less,It creates more equality of opportunity,It is against the principle of linking merit and reward,database programmer,Poland,PL
8324,high,yes,Country,32 years old,male,NO,26_39,I know something about it,I would probably vote for it,‰Û_ spend more time with my family,It increases appreciation for household work and volunteering,It might encourage people to stop working,data compiler,Poland,PL
8325,high,yes,Non-Rural,50 years old,FeMale,yES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,It might encourage people to stop working,data operations director,Poland,PL
8326,high,yes,city,35 years old,female,YES,26_39,I have heard just a little about it,I would probably vote against it,‰Û_ work less,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state,data coordinator,Poland,PL
8327,low,no,urban,61 years old,male,YES,40_65,I have heard just a little about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state,,Poland,PL
8328,medium,yes,Country,32 years old,male,YES,26_39,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It is impossible to finance,clinical data associate,Poland,PL
8329,medium,no,city,44 years old,male,yES,40_65,I have heard just a little about it,I would vote for it,‰Û_ spend more time with my family,It increases appreciation for household work and volunteering | It creates more equality of opportunity,It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It is impossible to finance | It might encourage people to stop working | It increases dependence on the state,,Poland,PL
8330,,no,urban,60 years old,female,YES,40_65,I have heard just a little about it,I would not vote,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,,Poland,PL
8331,medium,yes,urban,1986,male,YES,26_39,I know something about it,I would probably vote against it,‰Û_ spend more time with my family,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | Only the people who need it most should get something from the state,geographic information systems data specialist gis data specialist,Poland,PL
8332,high,yes,rural,31 years old,female,YES,26_39,I understand it fully,I would probably vote against it,‰Û_ work less,None of the above,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It is against the principle of linking merit and reward | It increases dependence on the state | It might encourage people to stop working | It is impossible to finance,geographic information systems data manager gis data manager,Poland,PL
8333,medium,no,city,49 years old,male,yES,40_65,I have never heard of it,I would probably vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It is impossible to finance | Only the people who need it most should get something from the state,,Poland,PL
8334,medium,no,rural,1996,Male,nO,14_25,I understand it fully,I would vote against it,None of the above,None of the above,Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state,,Poland,PL
8335,high,yes,city,1988,Fem,NO,26_39,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit,data systems manager,Poland,PL
8336,high,yes,countryside,45 years old,female,YES,40_65,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs | It creates more equality of opportunity,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,databases computer consultant,Poland,PL
8337,,yes,city,48 years old,female,YES,40_65,I understand it fully,I would probably vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit,database software technician,Poland,PL
8338,no,no,rural,2001,male,NO,14_25,I have heard just a little about it,I would vote for it,‰Û_ work less,It increases appreciation for household work and volunteering,It might encourage people to stop working,,Poland,PL
8339,high,yes,urban,1992,male,nO,juvenile,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | It increases dependence on the state,scada operator supervisory control and data acquisition operator,Poland,PL
8340,medium,yes,Non-Rural,31 years old,FeMale,YES,26_39,I know something about it,I would vote for it,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It might encourage people to stop working | Only the people who need it most should get something from the state,data processing manager,Poland,PL
8341,high,yes,city,33 years old,Fem,NO,26_39,I have heard just a little about it,I would vote for it,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,It might encourage people to stop working,database manager,Poland,PL
8342,medium,yes,Non-Rural,60 years old,male,NO,40_65,I have never heard of it,I would not vote,A basic income would not affect my work choices,It reduces bureaucracy and administrative expenses,None of the above,data processing manager,Poland,PL
8343,,no,urban,1995,male,nO,14_25,I have never heard of it,I would vote for it,‰Û_ gain additional skills,None of the above,None of the above,,Poland,PL
8344,medium,yes,urban,43 years old,male,YES,40_65,I have never heard of it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance,database security expert,Poland,PL
